ch_name,mal_id,mal_title,img_url,mal_year
少女☆歌劇 Revue Starlight,35503,Shoujo☆Kageki Revue Starlight,https://cdn.myanimelist.net/images/anime/1165/93552.jpg,2018
Code Geass 亡國的 AKITO,8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,https://cdn.myanimelist.net/images/anime/10/41401.jpg,2012
涼宮春日的憂鬱,849,Suzumiya Haruhi no Yuuutsu,https://cdn.myanimelist.net/images/anime/1470/137929.jpg,2006
GOSICK,8425,Gosick,https://cdn.myanimelist.net/images/anime/11/27906.jpg,2011
Love Live! Sunshine!! 第二季,34973,Love Live! Sunshine!! 2nd Season,https://cdn.myanimelist.net/images/anime/13/88322.jpg,2017
IS 〈Infinite Stratos〉,9041,IS: Infinite Stratos,https://cdn.myanimelist.net/images/anime/3/74045.jpg,2011
轉生公主與天才千金的魔法革命,52736,Tensei Oujo to Tensai Reijou no Mahou Kakumei,https://cdn.myanimelist.net/images/anime/1053/129004.jpg,2023
Dr.STONE 新石紀 (龍水),50612,Dr. Stone: Ryuusui,https://cdn.myanimelist.net/images/anime/1071/124921.jpg,2022
別對映像研出手！,39792,Eizouken ni wa Te wo Dasu na!,https://cdn.myanimelist.net/images/anime/1680/110451.jpg,2020
來自深淵 烈日的黃金鄉,41084,Made in Abyss: Retsujitsu no Ougonkyou,https://cdn.myanimelist.net/images/anime/1864/122519.jpg,2022
寶石之國,35557,Houseki no Kuni,https://cdn.myanimelist.net/images/anime/3/88293.jpg,2017
龍王的工作！,35905,Ryuuou no Oshigoto!,https://cdn.myanimelist.net/images/anime/12/89979.jpg,2018
Love Live! Sunshine!!,32526,Love Live! Sunshine!!,https://cdn.myanimelist.net/images/anime/8/80791.jpg,2016
笨蛋，測驗，召喚獸 第二季,8516,Baka to Test to Shoukanjuu Ni!,https://cdn.myanimelist.net/images/anime/1415/145672.jpg,2011
笨蛋，測驗，召喚獸～祭典～,9471,Baka to Test to Shoukanjuu: Matsuri,https://cdn.myanimelist.net/images/anime/3/67303.jpg,2011
襲來！美少女邪神,11785,Haiyore! Nyaruko-san,https://cdn.myanimelist.net/images/anime/6/49081.jpg,2012
神薙,3958,Kannagi,https://cdn.myanimelist.net/images/anime/3/19724.jpg,2008
普通攻擊是全體二連擊，這樣的媽媽你喜歡嗎？,38573,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,https://cdn.myanimelist.net/images/anime/1225/102250.jpg,2019
為美好的世界獻上祝福！紅傳說,38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://cdn.myanimelist.net/images/anime/1638/119321.jpg,2019
轉生成女性向遊戲只有毀滅 END 的壞人大小姐,38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,https://cdn.myanimelist.net/images/anime/1483/107061.jpg,2020
Guilty Crown 罪惡王冠,10793,Guilty Crown,https://cdn.myanimelist.net/images/anime/1566/133912.jpg,2011
大人的防具店,38395,Otona no Bouguya-san,https://cdn.myanimelist.net/images/anime/1590/111713.jpg,2018
土下座跪求給看,42571,Dogeza de Tanondemita,https://cdn.myanimelist.net/images/anime/1634/109387.jpg,2020
魔女之旅,40571,Majo no Tabitabi,https://cdn.myanimelist.net/images/anime/1802/108501.jpg,2020
OVERLORD 第三季,37675,Overlord III,https://cdn.myanimelist.net/images/anime/1511/93473.jpg,2018
Re：從零開始的異世界生活 冰結之絆,38414,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,https://cdn.myanimelist.net/images/anime/1238/104023.jpg,2019
輝夜姬想讓人告白～天才們的戀愛頭腦戰～,37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://cdn.myanimelist.net/images/anime/1295/106551.jpg,2019
ENDRO！,38062,Endro~!,https://cdn.myanimelist.net/images/anime/1300/111361.jpg,2019
搖曳露營△,34798,Yuru Camp△,https://cdn.myanimelist.net/images/anime/4/89877.jpg,2018
Little Busters !,13655,Little Busters!,https://cdn.myanimelist.net/images/anime/6/43757.jpg,2012
只要長得可愛，即使是變態你也喜歡嗎？,39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,https://cdn.myanimelist.net/images/anime/1430/102439.jpg,2019
果然我的青春戀愛喜劇搞錯了。續,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,https://cdn.myanimelist.net/images/anime/11/75376.jpg,2015
宇宙戰艦提拉米斯 Ⅱ,37988,Uchuu Senkan Tiramisù II,https://cdn.myanimelist.net/images/anime/1665/93614.jpg,2018
請問您今天要來點兔子嗎？,21273,Gochuumon wa Usagi desu ka?,https://cdn.myanimelist.net/images/anime/6/79600.jpg,2014
輝夜姬想讓人告白～天才們的戀愛頭腦戰～ 第二季,40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://cdn.myanimelist.net/images/anime/1764/106659.jpg,2020
請問您今天要來點兔子嗎？？,29787,Gochuumon wa Usagi desu ka??,https://cdn.myanimelist.net/images/anime/8/76702.jpg,2015
果然我的青春戀愛喜劇搞錯了。,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://cdn.myanimelist.net/images/anime/1786/120117.jpg,2013
在下坂本，有何貴幹？,32542,Sakamoto desu ga?,https://cdn.myanimelist.net/images/anime/4/79468.jpg,2016
學園孤島,24765,Gakkougurashi!,https://cdn.myanimelist.net/images/anime/1798/91548.jpg,2015
請問您今天要來點兔子嗎？BLOOM,38337,Gochuumon wa Usagi desu ka? Bloom,https://cdn.myanimelist.net/images/anime/1900/109179.jpg,2020
Fate/stay night [Heaven's Feel] I. 預示之花,25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,https://cdn.myanimelist.net/images/anime/1274/102213.jpg,2017
Fate/stay night [Heaven's Feel] Ⅲ.春櫻之歌,33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://cdn.myanimelist.net/images/anime/1142/112957.jpg,2020
Fate/stay night [Heaven's Feel] II.迷途之蝶,33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://cdn.myanimelist.net/images/anime/1974/98158.jpg,2019
煙草,37302,Kemurikusa (TV),https://cdn.myanimelist.net/images/anime/1254/100472.jpg,2019
怕痛的我，把防禦力點滿就對了,38790,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,https://cdn.myanimelist.net/images/anime/1579/113812.jpg,2020
勇者死了！,51706,Yuusha ga Shinda!,https://cdn.myanimelist.net/images/anime/1868/133866.jpg,2023
佐賀偶像是傳奇,37976,Zombieland Saga,https://cdn.myanimelist.net/images/anime/1084/128208.jpg,2018
慢活開始,35540,Slow Start,https://cdn.myanimelist.net/images/anime/4/89982.jpg,2018
佐賀偶像是傳奇 夢幻銀河樂園,50159,Zombieland Saga Movie: Yumeginga Paradise,https://cdn.myanimelist.net/images/anime/1552/151187.jpg,2025
吊帶襪天使,8795,Panty & Stocking with Garterbelt,https://cdn.myanimelist.net/images/anime/1296/142674.jpg,2010
無能力者娜娜,41619,Munou na Nana,https://cdn.myanimelist.net/images/anime/1301/110433.jpg,2020
裏世界遠足,41392,Urasekai Picnic,https://cdn.myanimelist.net/images/anime/1494/111515.jpg,2021
宇宙巡警露露子,32681,Uchuu Patrol Luluco,https://cdn.myanimelist.net/images/anime/4/79073.jpg,2016
Summer Pockets,50694,Summer Pockets,https://cdn.myanimelist.net/images/anime/1691/148602.jpg,2025
章魚嗶的原罪,60489,Takopii no Genzai,https://cdn.myanimelist.net/images/anime/1182/149879.jpg,2025
高校艦隊,31500,High School Fleet,https://cdn.myanimelist.net/images/anime/9/79670.jpg,2016
葬送的芙莉蓮,52991,Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,2023
mono女孩,58492,Mono,https://cdn.myanimelist.net/images/anime/1677/148603.jpg,2025
監獄學園,30240,Prison School,https://cdn.myanimelist.net/images/anime/1286/112161.jpg,2015
電影 K-ON！輕音部,9617,K-On! Movie,https://cdn.myanimelist.net/images/anime/5/76233.jpg,2011
K-ON！！輕音部,7791,K-On!!,https://cdn.myanimelist.net/images/anime/12/76121.jpg,2010
空之境界劇場版 未來福音,14807,Kara no Kyoukai Movie: Mirai Fukuin,https://cdn.myanimelist.net/images/anime/6/56621.jpg,2013
彼方的阿斯特拉,39198,Kanata no Astra,https://cdn.myanimelist.net/images/anime/1784/106428.jpg,2019
賽馬娘 Pretty Derby 第二季,42941,Uma Musume: Pretty Derby Season 2,https://cdn.myanimelist.net/images/anime/1447/114282.jpg,2021
江戶前精靈,52081,Edomae Elf,https://cdn.myanimelist.net/images/anime/1171/133777.jpg,2023
K-ON！輕音部,5680,K-On!,https://cdn.myanimelist.net/images/anime/10/76120.jpg,2009
別冊奧林匹克之環,41266,Bessatsu Olympia Kyklos,https://cdn.myanimelist.net/images/anime/1783/113441.jpg,2020
BACK ARROW,40964,Back Arrow,https://cdn.myanimelist.net/images/anime/1373/111546.jpg,2021
喜歡本大爺的竟然就妳一個？,38483,Ore wo Suki nano wa Omae dake ka yo,https://cdn.myanimelist.net/images/anime/1348/102797.jpg,2019
神推偶像登上武道館我就死而無憾,37890,Oshi ga Budoukan Ittekuretara Shinu,https://cdn.myanimelist.net/images/anime/1139/104708.jpg,2020
博多豚骨拉麵團,35889,Hakata Tonkotsu Ramens,https://cdn.myanimelist.net/images/anime/1718/91097.jpg,2018
天元突破 紅蓮螺巖,2001,Tengen Toppa Gurren Lagann,https://cdn.myanimelist.net/images/anime/4/5123.jpg,2007
KILL la KILL,18679,Kill la Kill,https://cdn.myanimelist.net/images/anime/1464/111943.jpg,2013
失憶投捕,56165,Boukyaku Battery (TV),https://cdn.myanimelist.net/images/anime/1372/142242.jpg,2024
NULL & PETA,40178,Null Peta,https://cdn.myanimelist.net/images/anime/1586/103381.jpg,2019
少女樂團 吶喊吧,55102,Girls Band Cry,https://cdn.myanimelist.net/images/anime/1711/140515.jpg,2024
流汗吧！健身少女,39026,Dumbbell Nan Kilo Moteru?,https://cdn.myanimelist.net/images/anime/1385/101060.jpg,2019
萌獸寵物店,39030,Hataage! Kemono Michi,https://cdn.myanimelist.net/images/anime/1736/103512.jpg,2019
非洲的動物上班族,39590,Africa no Salaryman (TV),https://cdn.myanimelist.net/images/anime/1937/102309.jpg,2019
你遭難了嗎？,39456,Sounan desu ka?,https://cdn.myanimelist.net/images/anime/1741/102237.jpg,2019
86－不存在的戰區－,41457,86,https://cdn.myanimelist.net/images/anime/1987/117507.jpg,2021
人渣的本願,32949,Kuzu no Honkai,https://cdn.myanimelist.net/images/anime/5/83937.jpg,2017
劇場版 賽馬娘 ROAD TO THE TOP,51761,Uma Musume: Pretty Derby - Road to the Top,https://cdn.myanimelist.net/images/anime/1102/135552.jpg,2023
賽馬娘 Pretty Derby 第三季,53526,Uma Musume: Pretty Derby Season 3,https://cdn.myanimelist.net/images/anime/1475/138948.jpg,2023
齊木楠雄的災難 第二季,34612,Saiki Kusuo no Ψ-nan 2,https://cdn.myanimelist.net/images/anime/1961/91383.jpg,2018
為美好的世界獻上祝福！3,49458,Kono Subarashii Sekai ni Shukufuku wo! 3,https://cdn.myanimelist.net/images/anime/1758/141268.jpg,2024
不起眼女主角培育法,23277,Saenai Heroine no Sodatekata,https://cdn.myanimelist.net/images/anime/1329/142757.jpg,2015
魔法少女小圓 新編 叛逆的物語,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://cdn.myanimelist.net/images/anime/5/54231.jpg,2013
魔法少女小圓,9756,Mahou Shoujo Madoka★Magica,https://cdn.myanimelist.net/images/anime/11/55225.jpg,2011
岸邊露伴一動也不動,33191,Kishibe Rohan wa Ugokanai,https://cdn.myanimelist.net/images/anime/1716/103072.jpg,2017
NO GAME NO LIFE 遊戲人生,19815,No Game No Life,https://cdn.myanimelist.net/images/anime/1074/111944.jpg,2014
黃金神威 第三季,40059,Golden Kamuy 3rd Season,https://cdn.myanimelist.net/images/anime/1763/108108.jpg,2020
黃金神威 第二季,37989,Golden Kamuy 2nd Season,https://cdn.myanimelist.net/images/anime/1180/95018.jpg,2018
八月的棒球甜心,38091,Hachigatsu no Cinderella Nine,https://cdn.myanimelist.net/images/anime/1824/100449.jpg,2019
黃金神威,36028,Golden Kamuy,https://cdn.myanimelist.net/images/anime/1145/90880.jpg,2018
BanG Dream! It's MyGO!!!!!,54959,BanG Dream! It's MyGO!!!!!,https://cdn.myanimelist.net/images/anime/1891/136948.jpg,2023
MEGALOBOX 機甲拳擊,36563,Megalo Box,https://cdn.myanimelist.net/images/anime/1958/93533.jpg,2018
輝夜姬想讓人告白－永不結束的初吻－,52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://cdn.myanimelist.net/images/anime/1670/130060.jpg,2022
OVERLORD,29803,Overlord,https://cdn.myanimelist.net/images/anime/1945/136600.jpg,2015
小林家的龍女僕,33206,Kobayashi-san Chi no Maid Dragon,https://cdn.myanimelist.net/images/anime/5/85434.jpg,2017
GRAND BLUE 碧藍之海,37105,Grand Blue,https://cdn.myanimelist.net/images/anime/1302/94882.jpg,2018
調教咖啡廳,34618,Blend S,https://cdn.myanimelist.net/images/anime/6/88286.jpg,2017
中二病也想談戀愛！,14741,Chuunibyou demo Koi ga Shitai!,https://cdn.myanimelist.net/images/anime/1905/142840.jpg,2012
天使降臨到我身邊！,37993,Watashi ni Tenshi ga Maiorita!,https://cdn.myanimelist.net/images/anime/1778/100470.jpg,2019
我的腦內戀礙選項,19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",https://cdn.myanimelist.net/images/anime/10/53235.jpg,2013
可塑性記憶,27775,Plastic Memories,https://cdn.myanimelist.net/images/anime/4/72750.jpg,2015
夏日時光,47194,Summertime Render,https://cdn.myanimelist.net/images/anime/1120/120796.jpg,2022
Kanon (東映版),144,Kanon,https://cdn.myanimelist.net/images/anime/1552/128388.jpg,2002
WORKING!!迷糊餐廳 第二季,10521,Working'!!,https://cdn.myanimelist.net/images/anime/3/75263.jpg,2011
WORKING!!迷糊餐廳,6956,Working!!,https://cdn.myanimelist.net/images/anime/10/75262.jpg,2010
BanG Dream！第三季,37870,BanG Dream! 3rd Season,https://cdn.myanimelist.net/images/anime/1985/104767.jpg,2020
BanG Dream！FILM LIVE,39619,BanG Dream! Film Live,https://cdn.myanimelist.net/images/anime/1163/117736.jpg,2019
荒野的壽飛行隊,38301,Kouya no Kotobuki Hikoutai,https://cdn.myanimelist.net/images/anime/1252/96179.jpg,2019
BanG Dream！第二季,37869,BanG Dream! 2nd Season,https://cdn.myanimelist.net/images/anime/1967/108632.jpg,2019
BanG Dream！,33573,BanG Dream!,https://cdn.myanimelist.net/images/anime/4/82414.jpg,2017
幻日夜羽 -鏡中暉光-,52214,Genjitsu no Yohane: Sunshine in the Mirror,https://cdn.myanimelist.net/images/anime/1208/133335.jpg,2023
銀之匙 第二季,19363,Gin no Saji 2nd Season,https://cdn.myanimelist.net/images/anime/8/57995.jpg,2014
Love Live！虹咲學園 學園偶像同好會 NEXT SKY,53671,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,https://cdn.myanimelist.net/images/anime/1515/134847.jpg,2023
Little Busters ! EX,20517,Little Busters! EX,https://cdn.myanimelist.net/images/anime/3/59031.jpg,2014
銀之匙,16918,Gin no Saji,https://cdn.myanimelist.net/images/anime/6/49237.jpg,2013
賽馬娘 Pretty Derby,35249,Uma Musume: Pretty Derby,https://cdn.myanimelist.net/images/anime/1478/91837.jpg,2018
Little Busters ! ～Refrain～,18195,Little Busters! Refrain,https://cdn.myanimelist.net/images/anime/10/55049.jpg,2013
網路勝利組,36038,Net-juu no Susume,https://cdn.myanimelist.net/images/anime/3/87463.jpg,2017
動畫同好會,35427,Animegataris,https://cdn.myanimelist.net/images/anime/12/89686.jpg,2017
宇宙戰艦提拉米斯,36267,Uchuu Senkan Tiramisù,https://cdn.myanimelist.net/images/anime/1864/93615.jpg,2018
愛麗絲與藏六,34350,Alice to Zouroku,https://cdn.myanimelist.net/images/anime/2/84598.jpg,2017
強風吹拂,37965,Kaze ga Tsuyoku Fuiteiru,https://cdn.myanimelist.net/images/anime/1936/129119.jpg,2018
為美好的世界獻上爆焰！,51958,Kono Subarashii Sekai ni Bakuen wo!,https://cdn.myanimelist.net/images/anime/1626/135844.jpg,2023
天籟人偶,50917,Prima Doll,https://cdn.myanimelist.net/images/anime/1553/124311.jpg,2022
飛翔的魔女,31376,Flying Witch,https://cdn.myanimelist.net/images/anime/6/80039.jpg,2016
女高中生的虛度日常,38619,Joshikousei no Mudazukai,https://cdn.myanimelist.net/images/anime/1343/111356.jpg,2019
吸血鬼馬上死 第二季,50287,Kyuuketsuki Sugu Shinu 2,https://cdn.myanimelist.net/images/anime/1254/131832.jpg,2023
勇者、辭職不幹了,50175,"Yuusha, Yamemasu",https://cdn.myanimelist.net/images/anime/1934/122301.jpg,2022
只有我不存在的城市,31043,Boku dake ga Inai Machi,https://cdn.myanimelist.net/images/anime/10/77957.jpg,2016
Love Live！虹咲學園 學園偶像同好會 短篇動畫,53077,Nijiyon Animation,https://cdn.myanimelist.net/images/anime/1977/135538.jpg,2023
Vivy -Fluorite Eye's Song-,46095,Vivy: Fluorite Eye's Song,https://cdn.myanimelist.net/images/anime/1551/128960.jpg,2021
Fate/stay night [Unlimited Blade Works] 第二季,28701,Fate/stay night: Unlimited Blade Works 2nd Season,https://cdn.myanimelist.net/images/anime/1881/124810.jpg,2015
成神之日,41930,Kamisama ni Natta Hi,https://cdn.myanimelist.net/images/anime/1396/109465.jpg,2020
Fate/stay night [Unlimited Blade Works],22297,Fate/stay night: Unlimited Blade Works,https://cdn.myanimelist.net/images/anime/12/67333.jpg,2014
Anima Yell!,37206,Anima Yell!,https://cdn.myanimelist.net/images/anime/1051/93862.jpg,2018
New Game! 第二季,34914,New Game!!,https://cdn.myanimelist.net/images/anime/4/86790.jpg,2017
Fate/zero 第二季,11741,Fate/Zero 2nd Season,https://cdn.myanimelist.net/images/anime/1522/117645.jpg,2012
Fate/zero,10087,Fate/Zero,https://cdn.myanimelist.net/images/anime/1887/117644.jpg,2011
吸血鬼馬上死,41833,Kyuuketsuki Sugu Shinu,https://cdn.myanimelist.net/images/anime/1892/117151.jpg,2021
末日時在做什麼？有沒有空？可以來拯救嗎？,33502,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://cdn.myanimelist.net/images/anime/4/85260.jpg,2017
笨拙之極的上野,37920,Ueno-san wa Bukiyou,https://cdn.myanimelist.net/images/anime/1874/111374.jpg,2019
白箱 SHIROBAKO,25835,Shirobako,https://cdn.myanimelist.net/images/anime/1460/141897.jpg,2014
Lycoris Recoil 莉可麗絲,50709,Lycoris Recoil,https://cdn.myanimelist.net/images/anime/1261/127311.jpg,2022
學園奶爸,35222,Gakuen Babysitters,https://cdn.myanimelist.net/images/anime/8/89978.jpg,2018
月刊少女野崎同學,23289,Gekkan Shoujo Nozaki-kun,https://cdn.myanimelist.net/images/anime/5/66083.jpg,2014
孤獨搖滾！,47917,Bocchi the Rock!,https://cdn.myanimelist.net/images/anime/1448/127956.jpg,2022
潔癖男子！青山君,34825,Keppeki Danshi! Aoyama-kun,https://cdn.myanimelist.net/images/anime/9/86644.jpg,2017
TIGER×DRAGON！,4224,Toradora!,https://cdn.myanimelist.net/images/anime/13/22128.jpg,2008
SHADOWS HOUSE-影宅- 第二季,49782,Shadows House 2nd Season,https://cdn.myanimelist.net/images/anime/1634/124231.jpg,2022
Dr.STONE 新石紀 第二季,40852,Dr. Stone: Stone Wars,https://cdn.myanimelist.net/images/anime/1711/110614.jpg,2021
Dr.STONE 新石紀,38691,Dr. Stone,https://cdn.myanimelist.net/images/anime/1613/102576.jpg,2019
青春豬頭少年不會夢到嬌憐外出妹,53129,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,https://cdn.myanimelist.net/images/anime/1540/134808.jpg,2023
搖曳露營△ 第三季,53410,Yuru Camp△ Season 3,https://cdn.myanimelist.net/images/anime/1178/142710.jpg,2024
比宇宙更遠的地方,35839,Sora yori mo Tooi Basho,https://cdn.myanimelist.net/images/anime/6/89879.jpg,2018
一拳超人,30276,One Punch Man,https://cdn.myanimelist.net/images/anime/12/76049.jpg,2015
Anne-Happy,31080,Anne Happy♪,https://cdn.myanimelist.net/images/anime/9/78701.jpg,2016
未確認進行式,20541,Mikakunin de Shinkoukei,https://cdn.myanimelist.net/images/anime/10/75249.jpg,2014
New Game!,31953,New Game!,https://cdn.myanimelist.net/images/anime/9/80417.jpg,2016
Love Live！虹咲學園 學園偶像同好會 第二季,48916,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,https://cdn.myanimelist.net/images/anime/1586/121947.jpg,2022
Love Live！虹咲學園 學園偶像同好會,40879,Love Live! Nijigasaki Gakuen School Idol Doukoukai,https://cdn.myanimelist.net/images/anime/1393/109203.jpg,2020
Love Live! Superstar!!,41169,Love Live! Superstar!!,https://cdn.myanimelist.net/images/anime/1758/115692.jpg,2021
派對咖孔明,50380,Paripi Koumei,https://cdn.myanimelist.net/images/anime/1970/122297.jpg,2022
雛子的筆記,33948,Hinako Note,https://cdn.myanimelist.net/images/anime/2/84858.jpg,2017
戀愛中的小行星,39388,Koisuru Asteroid,https://cdn.myanimelist.net/images/anime/1142/111693.jpg,2020
境界的彼方,18153,Kyoukai no Kanata,https://cdn.myanimelist.net/images/anime/3/85468.jpg,2013
Love Live! 電影,24997,Love Live! The School Idol Movie,https://cdn.myanimelist.net/images/anime/6/75700.jpg,2015
房間露營,38476,Heya Camp△,https://cdn.myanimelist.net/images/anime/1228/104364.jpg,2020
Love Live! 第一季,15051,Love Live! School Idol Project,https://cdn.myanimelist.net/images/anime/11/56849.jpg,2013
笨蛋，測驗，召喚獸,6347,Baka to Test to Shoukanjuu,https://cdn.myanimelist.net/images/anime/3/50389.jpg,2010
劇場版 來自深淵 深沉靈魂的黎明,36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://cdn.myanimelist.net/images/anime/1803/117183.jpg,2020
輝夜姬想讓人告白 ー超級浪漫ー,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,2022
我們仍未知道那天所看見的花名。,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://cdn.myanimelist.net/images/anime/5/79697.jpg,2011
搖曳露營△ 第二季,38474,Yuru Camp△ Season 2,https://cdn.myanimelist.net/images/anime/1255/110636.jpg,2021
Princess Principal,35240,Princess Principal,https://cdn.myanimelist.net/images/anime/7/86768.jpg,2017
與變成了異世界美少女的大叔一起冒險,48997,Fantasy Bishoujo Juniku Ojisan to,https://cdn.myanimelist.net/images/anime/1430/120065.jpg,2022
來自深淵,34599,Made in Abyss,https://cdn.myanimelist.net/images/anime/6/86733.jpg,2017
請問您今天要來點兔子嗎？～Sing For You～,38333,Gochuumon wa Usagi desu ka?? Sing for You,https://cdn.myanimelist.net/images/anime/1684/101030.jpg,2019
天地創造設計部,41762,Tenchi Souzou Design-bu,https://cdn.myanimelist.net/images/anime/1339/113938.jpg,2021
路人超能 100 第二季,37510,Mob Psycho 100 II,https://cdn.myanimelist.net/images/anime/1918/96303.jpg,2019
路人超能 100,32182,Mob Psycho 100,https://cdn.myanimelist.net/images/anime/8/80356.jpg,2016
JOJO 的奇妙冒險 黃金之風,37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://cdn.myanimelist.net/images/anime/1882/94989.jpg,2018
SHADOWS HOUSE-影宅-,43439,Shadows House,https://cdn.myanimelist.net/images/anime/1424/113342.jpg,2021
JOJO 的奇妙冒險 不滅鑽石,31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://cdn.myanimelist.net/images/anime/3/79156.jpg,2016
JOJO 的奇妙冒險 星塵遠征軍 埃及篇,26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,https://cdn.myanimelist.net/images/anime/11/75045.jpg,2015
JOJO 的奇妙冒險 星塵遠征軍,20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,https://cdn.myanimelist.net/images/anime/11/55267.jpg,2014
JOJO 的奇妙冒險,14719,JoJo no Kimyou na Bouken (TV),https://cdn.myanimelist.net/images/anime/3/40409.jpg,2012
前輩有夠煩,42351,Senpai ga Uzai Kouhai no Hanashi,https://cdn.myanimelist.net/images/anime/1055/118890.jpg,2021
隱瞞之事,40716,Kakushigoto,https://cdn.myanimelist.net/images/anime/1048/128385.jpg,2020
幼女戰記,32615,Youjo Senki,https://cdn.myanimelist.net/images/anime/5/82890.jpg,2017
漫畫家與助手,21863,Mangaka-san to Assistant-san to The Animation,https://cdn.myanimelist.net/images/anime/11/62219.jpg,2014
工作細胞,37141,Hataraku Saibou,https://cdn.myanimelist.net/images/anime/1141/117446.jpg,2018
